Race,Year,Date,Finishers
Prince of Wales Island International Marathon,2023,5/27/23,26
JailBreak Marathon,2023,9/30/23,25
New Year's Day Marathon,2023,1/1/23,25
Northwest Series - WA,2023,9/25/23,25
Prairie Series - MN 1,2023,5/18/23,25
Redwood Trail Run (Spring),2023,4/1/23,25
Riverboat Series - IL,2023,4/23/23,25
Riverboat Series - LA,2023,4/17/23,25
Blister in the Sun Marathon,2023,8/6/23,24
Mathews Marathon,2023,10/14/23,24
Montara Mountain Trail Run,2023,2/12/23,24
Chili Pepper Series - Day 1,2023,3/11/23,23
Madison Marathon (MT),2023,7/8/23,23
Southwest Series - CA,2023,11/10/23,23
Center of the Nation Marathon - Colorado,2023,10/2/23,22
"Labor Day Triple, Day 2",2023,9/3/23,22
Northwest Series - WA 2,2023,9/26/23,22
Alaska Series - Day 3,2023,7/27/23,21
Cross Timbers Trail Runs Marathon,2023,3/4/23,21
Gulf Coast Series - TX,2023,3/20/23,21
Mountain Rats,2023,9/16/23,21
Riverboat Series - MS,2023,4/19/23,21
Summer Camp Series - Day 2,2023,7/16/23,21
Arkansas Marathon,2023,10/14/23,20
Cinderella Trail Run (Spring),2023,6/10/23,20
Crystal Springs Summer Trail Run,2023,9/3/23,20
